Date,Open,High,Low,Close,Volume
2000-12-11,40.7,42.1,40.6,41.25,2604400.0
2000-12-12,41.25,41.75,40.5,40.5,1838200.0
2000-12-13,40.5,40.65,39.75,39.85,1726600.0
2000-12-14,39.85,40.0,39.6,39.6,675100.0
2000-12-16,39.6,41.25,39.9,40.9,2452900.0
2000-12-18,40.9,42.75,41.4,41.75,3253800.0
2000-12-19,41.75,41.95,40.75,41.1,1301000.0
2000-12-20,41.1,42.25,40.8,42.1,1679600.0
2000-12-21,42.1,43.4,42.35,42.55,2032500.0
2000-12-23,42.55,42.3,41.4,41.9,1238400.0
2000-12-26,41.9,42.25,40.9,41.1,2162500.0
2001-01-01,41.1,41.8,40.9,41.7,1912200.0
2001-01-02,41.7,43.2,42.0,42.35,3851400.0
2001-01-03,42.35,45.6,42.45,45.6,11413800.0
2001-01-04,45.6,46.5,44.9,45.0,8460800.0
2001-01-05,45.0,46.6,44.95,45.75,7512500.0
2001-01-08,45.75,47.25,45.5,45.5,13255700.0
2001-01-09,45.5,46.2,44.9,45.55,7977400.0
2001-01-10,45.55,46.6,45.0,46.3,13924900.0
2001-01-11,46.3,46.85,45.7,46.3,14420200.0
2001-01-12,46.3,46.6,45.0,45.15,6223800.0
2001-01-15,45.15,45.25,43.85,44.0,4808900.0
2001-01-16,44.0,44.6,43.45,44.35,4757400.0
2001-01-17,44.35,45.4,43.6,45.4,8109400.0
2001-01-18,45.4,45.9,45.0,45.2,7698500.0
2001-01-19,45.2,46.85,45.15,46.75,10666000.0
2001-01-22,46.75,47.85,46.6,46.8,374800.0
2001-01-23,46.8,47.55,46.65,47.5,209900.0
2001-01-24,47.5,47.7,47.0,47.1,181200.0
2001-01-25,47.1,47.3,46.8,46.8,248000.0
2001-01-26,46.8,46.9,46.5,46.8,113800.0
2001-01-29,46.8,47.0,46.5,46.6,123300.0
2001-01-30,46.6,48.5,45.85,48.4,895500.0
2001-01-31,48.4,49.0,48.1,48.2,1007100.0
2001-02-01,48.2,49.1,48.4,49.0,824300.0
2001-02-02,49.0,50.25,49.0,50.0,690200.0
2001-02-06,48.0,49.35,47.75,47.9,10665300.0
2001-02-07,47.9,48.0,46.95,47.15,3718100.0
2001-02-08,47.15,47.45,46.55,46.9,4608200.0
2001-02-09,46.9,47.35,46.25,46.7,4348000.0
2001-02-12,46.7,47.55,46.4,47.2,7037200.0
2001-02-13,47.2,47.7,46.75,46.8,4950700.0
2001-02-14,46.8,47.2,46.4,46.85,2569300.0
2001-02-15,46.85,46.95,46.0,46.1,3439400.0
2001-02-16,46.1,47.0,45.75,46.95,6742500.0
2001-02-19,46.95,47.45,46.6,46.85,2801100.0
2001-02-20,46.85,46.95,45.35,45.35,4393500.0
2001-02-21,45.35,45.55,43.9,44.95,4003900.0
2001-02-22,44.95,45.35,44.3,44.4,2690200.0
2001-02-23,44.4,44.4,42.15,42.6,3110900.0
2001-02-26,42.6,42.25,40.65,41.35,4794500.0
2001-02-27,41.35,42.7,41.4,42.65,4129100.0
2001-02-28,42.65,42.55,41.45,41.85,4030600.0
2001-03-01,41.85,41.85,41.0,41.6,2304400.0
2001-03-02,41.6,42.15,41.35,42.0,3064100.0
2001-03-09,42.0,42.05,41.4,41.5,1275700.0
2001-03-12,41.5,41.4,40.75,40.75,1571400.0
2001-03-13,40.75,41.1,40.45,41.0,1220500.0
2001-03-14,41.0,41.2,40.7,40.8,829900.0
2001-03-15,40.8,41.0,40.1,40.1,1390400.0
2001-03-16,40.1,40.35,39.7,39.85,894300.0
2001-03-19,39.85,40.25,39.65,39.65,1060400.0
2001-03-20,39.65,40.4,39.65,40.25,1769200.0
2001-03-21,40.25,40.5,39.9,39.9,1238400.0
2001-03-22,39.9,40.0,38.95,39.15,1578400.0
2001-03-26,39.15,39.2,38.7,38.8,733300.0
2001-03-27,38.8,39.8,38.75,39.8,2164900.0
2001-03-28,39.8,39.9,39.25,39.3,939900.0
2001-03-29,39.3,39.45,38.85,39.15,809000.0
